time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
119829,1.20,-0.15,-0.03,8.38,36.75,-142.74
119832,1.21,-0.16,-0.03,13.34,53.97,-126.84
119835,1.22,-0.17,-0.01,19.72,72.92,-111.78
119838,1.22,-0.17,0.02,28.18,92.32,-96.60
119842,1.21,-0.17,0.03,35.97,108.56,-84.97
119846,1.20,-0.17,0.04,46.79,130.82,-71.81
119849,1.19,-0.17,0.04,53.27,145.21,-66.43
119852,1.19,-0.17,0.03,58.07,159.83,-64.43
119855,1.20,-0.17,0.02,62.06,176.14,-65.13
119858,1.21,-0.19,-0.01,64.41,197.19,-67.91
119861,1.23,-0.19,-0.05,65.54,225.68,-72.34
119864,1.23,-0.21,-0.06,66.75,255.24,-78.39
119868,1.25,-0.24,-0.08,67.85,290.35,-87.41
119871,1.26,-0.24,-0.07,69.11,325.39,-99.87
119874,1.28,-0.25,-0.05,71.10,359.25,-113.73
119878,1.29,-0.25,-0.03,73.53,387.69,-128.33
119882,1.30,-0.22,-0.03,75.27,422.90,-147.99
119885,1.30,-0.19,-0.04,74.49,442.53,-157.55
119888,1.29,-0.16,-0.04,71.91,462.26,-165.04
119891,1.31,-0.15,-0.05,70.36,482.03,-168.94
119895,1.33,-0.11,-0.06,69.14,495.31,-170.28
119898,1.37,-0.10,-0.10,68.52,495.31,-169.27
119901,1.42,-0.11,-0.11,69.92,495.31,-167.47
119905,1.48,-0.14,-0.09,74.03,495.31,-165.78
119908,1.48,-0.24,-0.00,79.56,495.31,-171.67
119911,1.48,-0.18,0.01,86.64,495.31,-175.21
119915,1.45,-0.13,0.03,93.25,495.31,-172.65
119918,1.43,-0.09,0.02,100.35,495.31,-165.06
119922,1.36,-0.11,0.10,116.56,495.31,-155.55
119925,1.33,-0.17,0.27,126.04,495.31,-152.26
119928,1.33,-0.15,0.21,132.58,495.31,-155.41
119932,1.23,-0.13,0.27,135.97,495.31,-155.79
119935,1.19,-0.12,0.33,140.01,495.31,-155.30
119938,1.13,-0.09,0.42,143.85,495.31,-155.94
119942,1.07,-0.03,0.46,146.38,495.31,-153.46
119945,1.03,0.02,0.48,146.00,495.31,-146.62
119948,0.98,0.06,0.53,143.68,495.31,-138.14
119952,0.97,0.06,0.58,139.04,495.31,-130.14
119955,0.98,0.07,0.60,134.55,495.31,-124.22
119959,1.01,0.04,0.69,128.61,495.31,-121.75
119962,1.03,0.06,0.67,124.84,495.31,-120.37
119965,1.02,0.07,0.65,121.77,495.31,-118.62
119968,1.00,0.06,0.66,117.95,495.31,-117.21
119971,0.98,0.06,0.64,112.40,495.31,-116.34
119975,0.91,0.05,0.66,105.30,495.31,-115.76
119978,0.85,0.05,0.69,97.46,495.31,-115.87
119981,0.77,0.08,0.72,88.88,495.31,-111.43
119984,0.68,0.11,0.77,79.82,495.31,-102.83
119987,0.62,0.12,0.82,71.59,495.31,-92.54
119991,0.57,0.12,0.86,63.05,495.31,-81.55
119995,0.52,0.12,0.92,53.04,495.31,-65.06
119998,0.49,0.10,0.95,48.17,495.31,-53.81
120001,0.47,0.09,0.96,43.40,495.31,-42.37
120004,0.46,0.07,0.91,38.03,482.66,-30.26
120007,0.45,0.04,0.83,31.65,456.21,-15.85
120010,0.45,0.02,0.80,26.44,438.26,-2.16
120013,0.46,0.01,0.77,22.64,426.32,11.06
120016,0.48,0.00,0.75,19.83,419.10,23.46
120019,0.50,-0.01,0.74,19.07,417.04,31.29
120022,0.51,-0.02,0.74,18.35,419.40,37.80
120025,0.52,-0.02,0.71,17.86,426.30,42.07
120028,0.54,-0.00,0.71,16.41,435.63,43.51
120047,0.60,-0.07,0.75,0.21,464.05,-4.95
120050,0.60,-0.08,0.77,-3.44,465.43,-18.17
120053,0.61,-0.10,0.80,-5.89,463.63,-31.56
120056,0.60,-0.10,0.83,-6.81,459.85,-43.07
120059,0.57,-0.09,0.86,-6.38,452.44,-53.15
120062,0.56,-0.09,0.88,-5.01,444.23,-61.35
120065,0.54,-0.09,0.90,-2.28,435.24,-67.96
120069,0.54,-0.09,0.93,0.46,427.07,-72.55
120072,0.53,-0.10,0.94,3.46,421.42,-75.68
120075,0.52,-0.09,0.94,6.49,416.99,-76.81
120078,0.51,-0.07,0.94,9.14,413.22,-76.23
120081,0.48,-0.06,0.97,12.99,407.05,-72.62
120085,0.42,-0.05,1.01,20.26,393.30,-65.72
120088,0.40,-0.01,1.04,24.65,380.64,-59.41
120091,0.39,0.01,1.05,27.27,365.25,-53.03
120094,0.39,0.03,1.06,28.07,350.24,-47.23
120097,0.40,0.04,1.07,27.72,335.69,-42.11
120100,0.40,0.05,1.07,26.56,322.78,-36.78
120103,0.42,0.06,1.05,25.43,314.08,-33.33
